Product Name,Product Price,Product Discounted Price
Britannia Jimjam Sandwich Biscuits 138 g,₹35.00,₹25.00
Britannia Bourbon The Original Cream Biscuits 150 g,₹40.00,₹30.00
Parle-G Original Glucose Biscuits 800 g,₹90.00,₹78.00
Britannia Tiger Krunch Chocochips Biscuits Combo Pack 400 g,₹140.00,₹70.00
Parle Monaco Salted Biscuits 200 g,₹40.00,₹36.00
Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits 400 g,₹150.00,₹75.00
Sunfeast Mom's Magic Cashew & Almond Biscuits 584 g,₹130.00,₹86.00
Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg,₹199.00,₹145.00
Britannia 50-50 Maska Chaska Biscuits 300 g,₹90.00,₹78.00
Parle-G Gold Biscuits 1 kg,₹140.00,₹120.00
Parle Krack Jack Biscuits 400 g,₹80.00,₹70.00
Britannia Classic Little Hearts Biscuits 75 g,₹30.00,₹24.00
Britannia Milk Bikis Biscuits 500 g,₹90.00,₹75.00
Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g,₹170.00,₹110.00
Britannia Good Day Cashew Biscuits 1 Kg,₹250.00,₹225.00
Cadbury Oreo Original Chocolatey Sandwich Biscuits 481.25 g,₹159.00,₹105.00
Parle Hide & Seek Choco Rolls 250 g,₹170.00,₹85.00
Cadbury Oreo Choco Creme Biscuits 288.75 g,₹85.00,₹59.00
Parle Milano Hide & Seek Choco Filled Cookies 250 g,₹180.00,₹90.00
Parle Festive Delights Black Bourbon Choco Creme Sandwich Biscuits 300 g,₹150.00,₹75.00
Parle Monaco Pizza Masala Crunch Biscuits 311 g,₹130.00,₹65.00
Unibic Sugar Free Butter Cookies 75 g,₹60.00,₹30.00
Parle Krackjack Butter Masala Biscuits 307.8 g,₹130.00,₹65.00
Pickwick Strawberry Creamy Wafer Biscuits 75 g,₹60.00,₹30.00
Parle Platina Hide & Seek Black Bourbon Vanilla Cream Biscuits 300 g,₹150.00,₹75.00
Amul Premium Butter Cookies 200 g,₹78.00,₹72.00
Mayora Malkist Cheese Flavoured Cracker Biscuits 144 g,₹50.00,₹33.00
Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g,₹35.00,₹17.00
Cadbury Oreo Original Vanilla Creme Biscuits (Family Pack) 288.75 g,₹99.00,₹59.00
Dukes Bourbon Premium Sandwich Biscuits 135 g,₹36.00,₹18.00
Britannia Bourbon 100 g (Buy 4 Get 1),₹80.00,₹100.00
Parle Monaco Classic Regular Salted Biscuits 400 g,₹180.00,₹70.00
Dukes Waffy Choco Wafer Rolls 250 g,₹50.00,₹90.00
